Sản lượng nho(tấn)		
Năm:                       		
Hiển thị:     		
	Tỉnh	Kết quả
Sản lượng sầu riêng(tấn)		
Năm:                       		
Hiển thị:     		
	Tỉnh	Kết quả
1	Đồng Tháp	474.909,5
2	Đăk Lăk	365.228,2
3	Lâm Đồng	260.704,1
4	Đồng Nai	151.104,9
5	Cần Thơ	79.701,1
6	Vĩnh Long	77.962,5
7	Gia Lai	41.749,1
8	Tây Ninh	36.798,1
9	Khánh Hoà	19.701
10	Thành phố Hồ Chí Minh	13.327,4
11	An Giang	7.735,1
12	Quảng Ngãi	3.380,3
13	Đà Nẵng	372,4
14	Cà Mau	12,1
15	Quảng Trị	2,5
16	Thừa Thiên-Huế	1,7

Sản lượng mít(tấn)		
Năm:                       		
Hiển thị:     		
	Tỉnh	Kết quả
1	Đồng Tháp	404.307,8
2	Đồng Nai	206.502,7
3	Cần Thơ	179.573,9
4	Tây Ninh	80.713,6
5	An Giang	57.933,3
6	Vĩnh Long	53.875,9
7	Lâm Đồng	35.737,5
8	Đăk Lăk	34.094,6
9	Thành phố Hồ Chí Minh	19.1
10	Phú Thọ	16.977,1
11	Gia Lai	15.323,9
12	Hà Tĩnh	14.884
13	Hà Nội	14.000,3
14	Thanh Hoá	11.956,3
15	Hải Phòng	10.457,3
16	Nghệ An	10.436,4
17	Đà Nẵng	8.678,1
18	Khánh Hoà	8.618,5
19	Quảng Ngãi	6.014,3
20	Thái Nguyên	5.642,1
21	Hưng Yên	5.345,8
22	Lao Cai	4.495,4
23	Ninh Bình	4.317,7
24	Quảng Trị	4.090,8
25	Sơn La	3.862
26	Cà Mau	3.463,6
27	Bắc Ninh	3.332,4
28	Lạng Sơn	2.349,3
29	Quảng Ninh	2.108,1
30	Tuyên Quang	1.347,5
31	Lai Châu	846
32	Thừa Thiên-Huế	787
33	Cao Bằng	466,1
34	Điện Biên	401,8

Sản lượng ổi(tấn)		
Năm:                       		
Hiển thị:     		
	Tỉnh	Kết quả
